email,cardNumber,cardHolderName,expirationMonth,expirationYear,upiId,bankName,bankAccountNumber,paymentMode,isSavedDetail,createdDate,createdTime
user1@example.com,1327210915716076,John Doe,04,2026,,,,CREDIT_CARD,true,2025-02-09,13:13:01
user1@example.com,9517955494347493,John Doe,04,2024,,,,DEBIT_CARD,true,2025-05-11,13:13:01
user2@example.com,5533988206495011,Jane Smith,07,2030,,,,CREDIT_CARD,false,2024-09-26,13:13:01
user2@example.com,,,,,,ICICI Bank,20439249,NET_BANKING,true,2024-10-18,13:13:01
user3@example.com,,,,,user3@upi,,,UPI,true,2025-07-04,13:13:01
user3@example.com,3594297623942269,Bob Johnson,09,2029,,,,CREDIT_CARD,false,2024-12-21,13:13:01
user4@example.com,,,,,,Chase Bank,92501836,NET_BANKING,false,2025-07-25,13:13:01
user4@example.com,8562401483597530,Alice Williams,03,2030,,,,DEBIT_CARD,true,2025-03-05,13:13:01
user5@example.com,,,,,,PNC Bank,79783920,NET_BANKING,false,2024-09-24,13:13:01
user5@example.com,,,,,,Bank of America,77462231,NET_BANKING,false,2025-01-03,13:13:01
user6@example.com,,,,,user6@paytm,,,UPI,false,2024-09-13,13:13:01
user6@example.com,,,,,user6@upi,,,UPI,true,2024-09-20,13:13:01
user7@example.com,6063299072157219,David Miller,10,2027,,,,DEBIT_CARD,true,2025-03-10,13:13:01
user7@example.com,,,,,,PNC Bank,77680724,NET_BANKING,true,2025-06-11,13:13:01
user8@example.com,,,,,user8@gpay,,,UPI,true,2025-03-05,13:13:01
user8@example.com,,,,,,Citibank,55121499,NET_BANKING,false,2025-06-17,13:13:01
user9@example.com,,,,,,SBI Bank,27878866,NET_BANKING,true,2025-05-03,13:13:01
user9@example.com,3093068635202421,Chris Moore,07,2027,,,,DEBIT_CARD,false,2025-07-12,13:13:01
user10@example.com,,,,,user10@phonepe,,,UPI,false,2025-07-30,13:13:01
user10@example.com,3759718959016696,Lisa Taylor,09,2030,,,,DEBIT_CARD,true,2025-02-26,13:13:01
user11@example.com,0445952995562149,Tom Anderson,04,2029,,,,DEBIT_CARD,false,2025-08-25,13:13:01
user11@example.com,,,,,,TD Bank,30819839,NET_BANKING,true,2025-02-04,13:13:01
user12@example.com,2920242971360360,Rachel Thomas,12,2024,,,,DEBIT_CARD,false,2024-12-02,13:13:01
user12@example.com,1559460158709935,Rachel Thomas,07,2026,,,,DEBIT_CARD,true,2025-03-29,13:13:01
user13@example.com,,,,,user13@gpay,,,UPI,false,2025-06-15,13:13:01
user13@example.com,8368021384346929,Kevin Jackson,02,2026,,,,DEBIT_CARD,true,2025-04-18,13:13:01
user14@example.com,9502454116392495,Anna White,09,2025,,,,CREDIT_CARD,true,2025-08-12,13:13:01
user14@example.com,0957639705180388,Anna White,07,2030,,,,DEBIT_CARD,true,2024-10-26,13:13:01
user15@example.com,0253659177846102,Peter Harris,06,2026,,,,CREDIT_CARD,true,2025-07-01,13:13:01
user15@example.com,,,,,,TD Bank,59637600,NET_BANKING,true,2024-12-02,13:13:01
user16@example.com,,,,,,ICICI Bank,27506958,NET_BANKING,true,2025-05-15,13:13:01
user16@example.com,,,,,,Citibank,41301404,NET_BANKING,true,2025-01-17,13:13:01
user17@example.com,6773465604284139,Daniel Thompson,06,2027,,,,DEBIT_CARD,false,2025-04-17,13:13:01
