firstName,middleName,lastName,username,email,password,role
John,,Doe,user1,user1@example.com,password123,CUSTOMER
Jane,,Smith,user2,user2@example.com,password123,CUSTOMER
Bob,,Johnson,user3,user3@example.com,password123,CUSTOMER
Alice,,Williams,user4,user4@example.com,password123,CUSTOMER
Mike,,Brown,user5,user5@example.com,password123,CUSTOMER
Sarah,,Davis,user6,user6@example.com,password123,CUSTOMER
David,,Miller,user7,user7@example.com,password123,CUSTOMER
Emma,,Wilson,user8,user8@example.com,password123,CUSTOMER
Chris,,Moore,user9,user9@example.com,password123,CUSTOMER
Lisa,,Taylor,user10,user10@example.com,password123,CUSTOMER
Tom,,Anderson,user11,user11@example.com,password123,CUSTOMER
Rachel,,Thomas,user12,user12@example.com,password123,CUSTOMER
Kevin,,Jackson,user13,user13@example.com,password123,CUSTOMER
Anna,,White,user14,user14@example.com,password123,CUSTOMER
Peter,,Harris,user15,user15@example.com,password123,CUSTOMER
Olivia,,Martin,user16,user16@example.com,password123,CUSTOMER
Daniel,,Thompson,user17,user17@example.com,password123,CUSTOMER
Sophia,,Garcia,user18,user18@example.com,password123,CUSTOMER
James,,Martinez,user19,user19@example.com,password123,CUSTOMER
Isabella,,Robinson,user20,user20@example.com,password123,CUSTOMER
William,,Clark,user21,user21@example.com,password123,CUSTOMER
Ava,,Rodriguez,user22,user22@example.com,password123,CUSTOMER
Benjamin,,Lewis,user23,user23@example.com,password123,CUSTOMER
Mia,,Lee,user24,user24@example.com,password123,CUSTOMER
Lucas,,Walker,user25,user25@example.com,password123,CUSTOMER
Charlotte,,Hall,user26,user26@example.com,password123,CUSTOMER
Henry,,Allen,user27,user27@example.com,password123,CUSTOMER
Amelia,,Young,user28,user28@example.com,password123,CUSTOMER
Alexander,,Hernandez,user29,user29@example.com,password123,CUSTOMER
Harper,,King,user30,user30@example.com,password123,CUSTOMER
Michael,,Wright,user31,user31@example.com,password123,CUSTOMER
Evelyn,,Lopez,user32,user32@example.com,password123,CUSTOMER
Ethan,,Hill,user33,user33@example.com,password123,CUSTOMER
Abigail,,Scott,user34,user34@example.com,password123,CUSTOMER
Matthew,,Green,user35,user35@example.com,password123,CUSTOMER
Emily,,Adams,user36,user36@example.com,password123,CUSTOMER
Jackson,,Baker,user37,user37@example.com,password123,CUSTOMER
Elizabeth,,Gonzalez,user38,user38@example.com,password123,CUSTOMER
Aiden,,Nelson,user39,user39@example.com,password123,CUSTOMER
Sofia,,Carter,user40,user40@example.com,password123,CUSTOMER
Samuel,,Mitchell,user41,user41@example.com,password123,CUSTOMER
Avery,,Perez,user42,user42@example.com,password123,CUSTOMER
Sebastian,,Roberts,user43,user43@example.com,password123,CUSTOMER
Ella,,Turner,user44,user44@example.com,password123,CUSTOMER
Jack,,Phillips,user45,user45@example.com,password123,CUSTOMER
Grace,,Campbell,user46,user46@example.com,password123,CUSTOMER
Owen,,Parker,user47,user47@example.com,password123,CUSTOMER
Chloe,,Evans,user48,user48@example.com,password123,CUSTOMER
Carter,,Edwards,user49,user49@example.com,password123,CUSTOMER
Victoria,,Collins,user50,user50@example.com,password123,CUSTOMER
Vendor1,,One,vendor1,vendor1@example.com,password123,VENDOR
Vendor2,,Two,vendor2,vendor2@example.com,password123,VENDOR
Vendor3,,Three,vendor3,vendor3@example.com,password123,VENDOR
Vendor4,,Four,vendor4,vendor4@example.com,password123,VENDOR
Vendor5,,Five,vendor5,vendor5@example.com,password123,VENDOR
Vendor6,,Six,vendor6,vendor6@example.com,password123,VENDOR
Vendor7,,Seven,vendor7,vendor7@example.com,password123,VENDOR
Vendor8,,Eight,vendor8,vendor8@example.com,password123,VENDOR
Vendor9,,Nine,vendor9,vendor9@example.com,password123,VENDOR
Vendor10,,Ten,vendor10,vendor10@example.com,password123,VENDOR
Vendor11,,Eleven,vendor11,vendor11@example.com,password123,VENDOR
Vendor12,,Twelve,vendor12,vendor12@example.com,password123,VENDOR
Vendor13,,Thirteen,vendor13,vendor13@example.com,password123,VENDOR
Vendor14,,Fourteen,vendor14,vendor14@example.com,password123,VENDOR
Vendor15,,Fifteen,vendor15,vendor15@example.com,password123,VENDOR
Vendor16,,Sixteen,vendor16,vendor16@example.com,password123,VENDOR
Vendor17,,Seventeen,vendor17,vendor17@example.com,password123,VENDOR
Vendor18,,Eighteen,vendor18,vendor18@example.com,password123,VENDOR
Vendor19,,Nineteen,vendor19,vendor19@example.com,password123,VENDOR
Vendor20,,Twenty,vendor20,vendor20@example.com,password123,VENDOR
Supplier1,,One,supplier1,supplier1@example.com,password123,SUPPLIER
Supplier2,,Two,supplier2,supplier2@example.com,password123,SUPPLIER
Supplier3,,Three,supplier3,supplier3@example.com,password123,SUPPLIER
Supplier4,,Four,supplier4,supplier4@example.com,password123,SUPPLIER
Supplier5,,Five,supplier5,supplier5@example.com,password123,SUPPLIER
Supplier6,,Six,supplier6,supplier6@example.com,password123,SUPPLIER
Supplier7,,Seven,supplier7,supplier7@example.com,password123,SUPPLIER
Supplier8,,Eight,supplier8,supplier8@example.com,password123,SUPPLIER
Supplier9,,Nine,supplier9,supplier9@example.com,password123,SUPPLIER
Supplier10,,Ten,supplier10,supplier10@example.com,password123,SUPPLIER
Supplier11,,Eleven,supplier11,supplier11@example.com,password123,SUPPLIER
Supplier12,,Twelve,supplier12,supplier12@example.com,password123,SUPPLIER
Supplier13,,Thirteen,supplier13,supplier13@example.com,password123,SUPPLIER
Supplier14,,Fourteen,supplier14,supplier14@example.com,password123,SUPPLIER
Supplier15,,Fifteen,supplier15,supplier15@example.com,password123,SUPPLIER
Supplier16,,Sixteen,supplier16,supplier16@example.com,password123,SUPPLIER
Supplier17,,Seventeen,supplier17,supplier17@example.com,password123,SUPPLIER
Supplier18,,Eighteen,supplier18,supplier18@example.com,password123,SUPPLIER
Supplier19,,Nineteen,supplier19,supplier19@example.com,password123,SUPPLIER
Supplier20,,Twenty,supplier20,supplier20@example.com,password123,SUPPLIER
Admin1,,One,admin1,admin1@example.com,password123,ADMIN
Admin2,,Two,admin2,admin2@example.com,password123,ADMIN
Admin3,,Three,admin3,admin3@example.com,password123,ADMIN
Admin4,,Four,admin4,admin4@example.com,password123,ADMIN
Admin5,,Five,admin5,admin5@example.com,password123,ADMIN
Admin6,,Six,admin6,admin6@example.com,password123,ADMIN
Admin7,,Seven,admin7,admin7@example.com,password123,ADMIN
Admin8,,Eight,admin8,admin8@example.com,password123,ADMIN
Admin9,,Nine,admin9,admin9@example.com,password123,ADMIN
Admin10,,Ten,admin10,admin10@example.com,password123,ADMIN
